title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
Dilwale Dulhania Le Jayenge,19404,pass,13200000,100000000,Comedy,27.742,1995,Foreign Language,190,8.7,3258,hi,16.3957273875566,18.420680743952367
Dracula: Dead and Loving It,12110,pass,30000000,10772144,Comedy,15.417,1995,English Language,88,6,694,en,17.216707939626428,16.192474100815364
First Knight,6520,fail,55000000,127600435,Action,10.807,1995,English Language,134,6.1,892,en,17.822843743196746,18.66441433796006
Friday,10634,fail,3500000,28215918,Comedy,29.833,1995,English Language,91,7.1,1275,en,15.068273526459642,17.155396844741265
GoldenEye,710,pass,58000000,352194034,Adventure,26.608,1995,English Language,130,6.9,2950,en,17.875953568510692,19.67969281464384
Hackers,10428,fail,20000000,7563728,Action,17.058,1995,English Language,107,6.3,913,en,16.811242831518264,15.838874748304292
Heat,949,fail,60000000,187436818,Action,33.375,1995,English Language,170,7.9,5145,en,17.909855120186375,19.0489523759207
Heavyweights,14819,fail,10000000,17689177,Family,11.098,1995,English Language,100,6.2,275,en,16.11809565095832,16.688463541594135
How to Make an American Quilt,11861,pass,10000000,41200020,Drama,9.288,1995,English Language,116,6.3,130,en,16.11809565095832,17.53394929975653
Judge Dredd,9482,pass,90000000,113493481,SciFi,20.064,1995,English Language,96,5.7,1816,en,18.31532022829454,18.547255957112867
La Haine,406,fail,2600000,15300000,Drama,15.364,1995,Foreign Language,98,8.1,2716,fr,14.77102200299171,16.543363386362664
Leaving Las Vegas,451,fail,3600000,49800000,Drama,16.444,1995,English Language,111,7.3,996,en,15.096444403426338,17.72352554199488
Mallrats,2293,fail,6000000,2122561,Romance,10.27,1995,English Language,94,6.8,915,en,15.60727002719233,14.56813393644842
Mighty Morphin Power Rangers: The Movie,9070,pass,15000000,66000000,Family,26.765,1995,English Language,92,5.7,503,en,16.523560759066484,18.0051652999907
Mortal Kombat,460465,fail,20000000,83601013,Action,499.203,2021,English Language,110,7.3,4077,en,16.811242831518264,18.2415661952064
The Net,1642,pass,22000000,110627965,Crime,10.728,1995,English Language,114,6,968,en,16.90655301132259,18.52168346319308
Nick of Time,2086,pass,8169363,8175346,Thriller,9.508,1995,English Language,90,6.2,517,en,15.915901495620254,15.916633598010971
Now and Then,9263,pass,12000000,27400000,Family,10.209,1995,English Language,100,6.9,328,en,16.300417207752275,17.126053571358298
Outbreak,6950,pass,50000000,189859560,Action,20.442,1995,English Language,127,6.5,1660,en,17.72753356339242,19.061795198918137
The Pebble and the Penguin,54648,fail,28000000,3983912,Animation,7.461,1995,English Language,74,5.3,87,en,17.14771506813948,15.19777480908926
Pocahontas,10530,pass,55000000,346079773,Adventure,40.722,1995,English Language,85,7,4646,en,17.822843743196746,19.6621798642511
The Quick and the Dead,12106,pass,32000000,18636537,Western,14.391,1995,English Language,107,6.5,1236,en,17.281246460764002,16.74063456670007
Rob Roy,11780,fail,28000000,31596911,Adventure,11.548,1995,English Language,139,6.8,462,en,17.14771506813948,17.268569920614432
Sabrina,11860,pass,58000000,53672080,Comedy,12.348,1995,English Language,127,6.1,437,en,17.875953568510692,17.79840349875885
Safe,72387,pass,30000000,40346186,Action,22.562,2012,English Language,94,6.5,1871,en,17.216707939626428,17.513007425288247
Se7en,807,fail,33000000,327311859,Crime,45.021,1995,English Language,127,8.3,16116,en,17.312018119430753,19.60642397162895
Sense and Sensibility,4584,pass,16000000,134582776,Drama,14.932,1995,English Language,136,7.5,1259,en,16.588099280204055,18.717690002647984
Showgirls,10802,pass,45000000,20350754,Drama,17.063,1995,English Language,131,5.5,849,en,17.622173047734595,16.828628520763537
Strange Days,281,pass,42000000,7959291,Crime,7.949,1995,English Language,145,7,933,en,17.553180176247643,15.889850483501808
Tank Girl,9067,pass,25000000,4064495,Action,9.583,1995,English Language,98,5.4,344,en,17.034386382832476,15.217800062004395
Toy Story,862,fail,30000000,373554033,Animation,194.609,1995,English Language,81,8,14721,en,17.216707939626428,19.7385732187406
Twelve Monkeys,63,fail,29000000,168841459,SciFi,22.85,1995,English Language,129,7.6,6522,en,17.182806387950748,18.94447072015846
The Usual Suspects,629,fail,6000000,23341568,Drama,22.647,1995,English Language,106,8.2,8154,en,15.60727002719233,16.96574636337164
Village of the Damned,12122,pass,22000000,9418365,Thriller,18.081,1995,English Language,99,6.1,568,en,16.90655301132259,16.058172064609092
Waterworld,9804,fail,175000000,264218220,Adventure,20.989,1995,English Language,135,6.1,2797,en,18.980296531887788,19.392285910581556
Welcome to the Dollhouse,11446,pass,800000,5034794,Comedy,8.446,1996,English Language,88,7.2,297,en,13.592367006650065,15.431883169693048
While You Were Sleeping,2064,pass,17000000,182057016,Romance,18.731,1995,English Language,103,6.9,1269,en,16.64872390202049,19.019830470706065
Ace Ventura: Pet Detective,3049,fail,15000000,107217396,Comedy,28.406,1994,English Language,86,6.5,4497,en,16.523560759066484,18.490369069555033
Angels in the Outfield,24795,fail,31000000,50236831,Comedy,11.694,1994,English Language,102,6,327,en,17.24949776244942,17.732259000905465
Beverly Hills Cop III,306,fail,50000000,119208989,Action,12.372,1994,English Language,105,5.9,1298,en,17.72753356339242,18.596388720826077
Clear and Present Danger,9331,fail,62000000,215887717,Action,13.078,1994,English Language,141,6.6,1069,en,17.942644943009366,19.190269001786955
The Client,10731,pass,45000000,117615211,Drama,10.837,1994,English Language,119,6.7,801,en,17.622173047734595,18.582928930302522
Color of Night,2124,pass,40000000,19726050,Romance,12.728,1994,English Language,121,5.8,405,en,17.50439001207821,16.797450655218608
The Crow,9495,pass,15000000,94000000,Fantasy,26.693,1994,English Language,102,7.5,2900,en,16.523560759066484,18.358805340234277
Drop Zone,4954,fail,45000000,28735315,Action,10.476,1994,English Language,101,5.6,302,en,17.622173047734595,17.173637412105062
Ed Wood,522,pass,18000000,5887457,Comedy,12.005,1994,English Language,127,7.5,1749,en,16.70588231586044,15.588334713670797
The Flintstones,888,pass,46000000,341631208,Fantasy,47.075,1994,English Language,91,5.3,1897,en,17.64415195445337,19.64924237401959
Forrest Gump,13,fail,55000000,677387716,Comedy,64.535,1994,English Language,142,8.5,21650,en,17.822843743196746,20.333754364141598
Four Weddings and a Funeral,712,pass,4400000,245700832,Comedy,15.511,1994,English Language,117,6.8,2014,en,15.29711509888849,19.319625223729062
Heavenly Creatures,1024,pass,5000000,3049135,Drama,9.367,1994,English Language,109,7,669,en,15.424948470398375,14.930368501802272
The Hudsucker Proxy,11934,fail,25000000,2800000,Comedy,11.335,1994,English Language,111,7.1,750,en,17.034386382832476,14.845129975145433
I.Q.,11777,fail,25000000,26381221,Comedy,10.143,1994,English Language,100,6,315,en,17.034386382832476,17.088162989246765
In the Mouth of Madness,2654,fail,8000000,8946600,Horror,8.723,1995,English Language,95,7.2,1113,en,15.89495209964411,16.006784129807055
Interview with the Vampire,628,fail,60000000,223664608,Horror,23.364,1994,English Language,123,7.4,4413,en,17.909855120186375,19.22565820205261
It Could Happen to You,10660,fail,20000000,37939757,Comedy,14.118,1994,English Language,101,6.5,507,en,16.811242831518264,17.45151011760087
The Legend of Drunken Master,12207,pass,10000000,11555430,Action,20.638,1994,Foreign Language,102,7.4,681,cn,16.11809565095832,16.262666014325784
Legends of the Fall,4476,pass,30000000,160638883,Adventure,22.219,1994,English Language,133,7.4,1886,en,17.216707939626428,18.89466944100721
