title,BT_score.1_is_Pass,TMDB_ID,budget,language,popularity,year,revenue,runtime,TMDB_rating,votes,primary_genre
What We Did on Our Holiday,1,276843,0,en,11.872,2014-09-26,1289998,95,6.8,403,Comedy
What We Do in the Shadows,0,246741,1600000,en,14.892,2014-06-19,6263224,86,7.6,2654,Comedy
When the Game Stands Tall,0,232679,15000000,en,9.416,2014-08-22,30127963,115,6.6,271,Drama
While We're Young,1,252512,10000000,en,12.892,2015-04-03,17287309,97,5.9,861,Comedy
Whiplash,0,244786,3300000,en,42.94,2014-10-10,13092000,107,8.4,11607,Drama
White Bird in a Blizzard,1,157825,0,en,9.161,2014-08-14,33821,91,6.2,614,Thriller
Wicked Blood,1,256740,3500000,en,7.469,2014-03-04,0,92,5.6,68,Action
Winter's Tale,1,137321,60000000,en,16.326,2014-02-13,30800231,118,6.3,1116,Drama
Wir sind die Neuen,1,271433,0,de,2.97,2014-07-17,0,91,6.4,49,Comedy
Wish I Was Here,1,231576,5500000,en,9.804,2014-07-18,5483299,107,6.6,596,Drama
The Woman in Black 2: Angel of Death,1,288158,15000000,en,20.306,2014-12-30,48854305,98,5.2,858,Thriller
Women Aren't Funny,1,289390,0,en,1.763,2014-08-29,0,79,5.1,16,Comedy
Wyrmwood: Road of the Dead,1,290999,0,en,10.067,2014-09-19,0,98,6.1,316,Horror
X-Men: Days of Future Past,0,127585,250000000,en,58.782,2014-05-15,747862775,132,7.5,12915,Action
You're Not You,1,290542,0,en,10.089,2014-10-10,894964,104,7.5,659,Drama
Young Ones,0,215379,0,en,8.48,2014-06-28,0,100,5.7,237,Western
Yves Saint Laurent,0,245775,12000000,fr,9.519,2014-01-08,21026290,106,6.7,690,Drama
Zero Motivation,1,261825,0,he,4.227,2014-06-26,0,97,6.5,47,Drama
Zombeavers,1,254474,0,en,20.651,2014-10-20,14947,85,4.9,514,Horror
12 Years a Slave,1,76203,20000000,en,22.692,2013-10-18,187000000,134,7.9,9307,Drama
2 Guns,0,136400,61000000,en,54.234,2013-08-02,131940411,109,6.5,3292,Action
20 Feet from Stardom,1,159014,1000000,en,8.631,2013-06-14,5892466,89,7.4,188,Documentary
300 Worte Deutsch,1,309038,2000000,de,3.205,2015-02-05,276792,92,5.9,28,Comedy
42,0,109410,40000000,en,24.054,2013-04-12,95020213,128,7.1,1406,Drama
47 Ronin,0,64686,175000000,en,21.496,2013-12-06,150962475,119,6.1,3016,Drama
52 Tuesdays,1,244801,0,en,1.962,2014-05-01,0,114,5.4,22,Drama
A Case of You,1,174316,0,en,9.256,2013-11-06,4187,91,5.6,239,Comedy
A Field in England,0,179111,0,en,9.316,2013-07-05,32846,90,6.3,178,Drama
A Good Day to Die Hard,0,47964,92000000,en,61.405,2013-02-06,304654182,98,5.3,5375,Action
A Haunted House,1,139038,2500000,en,75.748,2013-01-11,60141683,86,5.7,1348,Comedy
A Haunting at Silver Falls,1,197919,2500000,en,6.89,2013-05-28,0,84,4.8,54,Horror
A Picture of You,1,277522,0,en,1.727,2014-06-20,0,83,6.1,8,Drama
A Talking Cat!?!,1,165013,1000000,en,3.639,2013-02-18,0,83,2.8,29,Comedy
A Teacher,1,158884,100000,en,8.027,2013-09-06,0,75,4.7,70,Drama
About Time,1,122906,12000000,en,36.426,2013-09-04,87100449,123,7.9,6553,Drama
Admission,1,144340,13000000,en,8.483,2013-03-21,18637201,107,5.6,506,Comedy
Adult World,1,143049,0,en,20.815,2013-04-18,0,107,6.1,306,Comedy
After Earth,0,82700,130000000,en,54.388,2013-05-30,243843127,100,5.2,5602,Science Fiction
Afternoon Delight,1,156708,0,en,22.69,2013-08-30,0,95,5.8,159,Comedy
Alan Partridge: Alpha Papa,1,177699,4000000,en,10.816,2013-07-24,9800000,90,6.7,342,Crime
All Cheerleaders Die,1,210908,0,en,13.227,2013-10-31,0,89,5.3,321,Horror
American Hustle,1,168672,40000000,en,22.287,2013-12-03,251171807,138,6.8,6052,Drama
Amiche da morire,1,173847,0,it,4.855,2013-03-07,0,0,6.4,226,Romance
An Easter Bunny Puppy,1,181894,1000000,en,2.335,2013-03-01,0,90,3.7,3,Family
Anchorman 2: The Legend Continues,1,109443,50000000,en,23.048,2013-12-18,173649015,119,6.1,2004,Comedy
And Now a Word from Our Sponsor,1,180810,0,en,2.826,2013-05-10,0,87,4.1,16,Comedy
Another Me,1,252529,0,en,9.541,2013-11-15,489884,86,5.3,199,Thriller
Are You Here,1,209244,0,en,11.835,2013-09-07,0,114,5.2,218,Comedy
Ashley,1,212967,0,en,5.757,2013-08-09,0,92,5,18,Drama
Ass Backwards,1,159024,3000000,en,5.08,2013-01-21,0,90,4.6,52,Adventure
At Middleton,1,194722,2500000,en,13.45,2013-10-09,0,101,6.1,137,Romance
August: Osage County,1,152737,25000000,en,11.856,2013-12-26,74188937,121,6.9,1163,Comedy
Austenland,1,156711,4900000,en,8.305,2013-08-15,2159041,97,6.4,359,Comedy
Bad Words,0,209403,9500000,en,10.745,2013-09-06,7800000,89,6.4,621,Comedy
Baggage Claim,1,175528,8500000,en,9.805,2013-09-27,22456509,96,5.3,167,Comedy
Bayonetta: Bloody Fate,1,242546,0,ja,34.411,2013-11-23,0,90,6.4,59,Animation
Beautiful Creatures,1,109491,60000000,en,17.151,2013-02-13,60052138,124,6,2486,Fantasy
Before Midnight,1,132344,3000000,en,12.819,2013-04-05,11176469,109,7.5,1728,Romance
Behind the Candelabra,0,119675,23000000,en,10.419,2013-05-26,15600000,118,6.7,608,Drama
Beltracchi: The Art of Forgery,0,256314,0,de,1.581,2014-03-06,0,93,7.1,36,Crime
Beneath,0,257874,89,en,15.403,2013-10-08,0,89,5.4,117,Horror
Best Friends Forever,1,159625,0,en,2.189,2013-01-19,0,80,5.2,8,Drama
The Best Man Holiday,1,146304,17000000,en,10.759,2013-11-15,71625195,123,6.5,206,Comedy
Best Night Ever,1,238475,0,en,9.07,2014-01-31,0,90,4.1,72,Comedy
The Best Offer,0,152742,13500000,en,14.416,2013-01-01,19255873,124,7.9,2318,Drama
The Big Wedding,1,87567,35000000,en,10.685,2013-04-25,21819348,90,5.9,956,Comedy
Birdemic 2: The Resurrection,1,188489,0,en,5.863,2013-04-09,0,82,2.3,76,Science Fiction
Blackfish,1,158999,0,en,10.718,2013-06-07,2063312,83,7.9,889,Documentary
The Bling Ring,1,96936,15000000,en,13.331,2013-06-12,19145732,90,5.4,2667,Drama
Blue Is the Warmest Color,1,152584,4300000,fr,16.674,2013-10-09,10165694,180,7.1,3670,Romance
Blue Jasmine,1,160588,18000000,en,15.333,2013-08-01,99206215,99,7,2845,Drama
Blue Ruin,1,188166,420000,en,7.717,2014-04-25,993313,91,6.8,1139,Crime
The Book Thief,1,203833,0,en,15.168,2013-11-08,76586316,131,7.5,3684,Drama
Bounty Killer,1,209504,0,en,13.532,2013-09-05,0,93,5.7,147,Action
The Call,1,158011,13000000,en,43.963,2013-03-14,68572378,94,6.8,2392,Crime
Captain Battle: Legacy War,1,199581,0,en,2.21,2013-01-12,0,90,1,2,War
Captain Phillips,0,109424,55000000,en,15.367,2013-10-10,218791811,134,7.6,5546,Action
Carrie,1,7342,0,en,59.148,2002-11-04,0,132,6.2,340,Drama
CBGB,0,111479,5000000,en,12.199,2013-10-11,40400,101,6.3,108,Drama
Cheap Thrills,0,175291,200000,en,9.538,2013-03-08,0,88,6.4,316,Comedy
Christmas in the City,1,245508,2000000,en,4.565,2013-12-25,0,87,5.5,30,Drama
